osm_id,network_id
3669,{'395807'}
29715,set()
160,{'543527'}
20786,set()
7877,set()
19562,set()
16989,set()
1999,{'297027'}
18946,{'427104'}
3007,set()
27576,set()
11496,set()
2218,set()
4183,{'273074'}
20658,{'357030'}
2772,set()
30062,{'480822'}
21738,{'78639'}
10067,{'227193'}
2856,set()
19221,set()
1755,set()
20316,{'545812'}
5328,{'205446'}
4171,{'550141'}
5014,set()
18969,{'286760'}
16909,{'542811'}
18481,set()
28927,set()
8091,{'124547'}
18226,{'548642'}
16389,{'24099'}
18401,set()
15537,{'436449'}
7782,set()
25071,set()
20038,set()
7462,{'416255'}
2710,{'115387'}
10666,{'293915'}
28760,set()
20386,{'125952'}
2204,{'427370'}
10467,{'272454'}
303,{'254593'}
2512,{'554614'}
16692,{'543527'}
7785,{'273167'}
29289,set()
13296,{'410520'}
836,set()
11828,{'550141'}
24309,{'516378'}
30241,{'571031'}
30438,{'570562'}
1028,{'237576'}
25655,{'273167'}
3099,set()
13698,{'252027'}
5731,{'551114'}
15055,{'293428'}
16053,set()
24040,{'230357'}
6840,{'252914'}
904,set()
655,{'76925'}
8333,set()
27280,set()
1534,set()
21586,{'483485'}
6206,"{'494721', '441039'}"
21871,{'317121'}
10459,{'558368'}
14942,set()
7577,{'423944'}
18591,{'282408'}
7732,set()
15465,{'319139'}
970,{'410520'}
28781,set()
17132,set()
10064,set()
12081,set()
28539,{'545812'}
28644,{'482708'}
19968,"{'539348', '159734', '105710'}"
21290,set()
20413,set()
22196,{'255534'}
4238,set()
2233,set()
8971,{'125068'}
30219,set()
11257,set()
17081,set()
812,set()
21776,{'424424'}
3806,{'334871'}
12979,set()
14911,"{'462593', '430774'}"
20112,{'282408'}
8685,{'17355'}
19628,{'382367'}
6180,{'558317'}
19927,"{'204413', '409803'}"
24433,set()
10180,{'545372'}
13954,set()
25837,set()
9670,{'416255'}
19060,{'571954'}
15913,set()
20238,{'484560'}
22968,"{'523146', '310280'}"
15082,set()
16764,{'423984'}
25281,{'426000'}
20760,{'467315'}
17322,{'314255'}
22759,{'424200'}
28139,set()
1690,set()
3734,set()
21882,set()
6432,{'459907'}
17750,set()
4695,{'277723'}
119,{'278457'}
8521,set()
26044,{'308776'}
7635,{'570606'}
8262,set()
21204,{'551308'}
16259,set()
704,{'492409'}
6746,{'516163'}
5858,{'310619'}
8635,set()
24752,set()
